Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative
Good location,No hot water. Asked them to fix it on the first night but it only changed to luke warm. We now have over 24 hours travel home but weren't able to have a hot shower before we left.,The location was great.,6.0,April 2024,"April 25, 2024",Double or Twin Room,2,Couple,7.4,0,1,0,0,0,0,0,0,1,0
Very Good,The shower water was only Luke warm.,"Breakfast was excellent. Location so close to Rome Termini was also excellent, along with staff helpfulness and attitude.",8.0,April 2024,"April 23, 2024",Double or Twin Room,1,Couple,7.4,0,1,0,0,1,0,1,0,1,0
Good forvovernight stop,Spartan facilities,Location soundproofing,6.0,April 2024,"April 22, 2024",Double or Twin Room,1,Couple,7.4,0,0,0,1,0,0,0,0,1,0
Good location,,Very nice staff 😁👌,8.0,April 2024,"April 21, 2024",Superior Double or Twin Room,1,Couple,7.4,0,0,0,0,1,0,0,0,0,0
Good,"Rooms are well worn, not always hot water in shower",Location location and staff,7.0,March 2024,"April 16, 2024",Double or Twin Room,1,Family,7.4,0,1,0,0,1,0,0,0,1,0
Very Good,,everything good,8.0,March 2024,"April 15, 2024",Double or Twin Room,2,Group,7.4,0,0,0,0,0,0,0,0,0,0
,,,7.0,April 2024,"April 13, 2024",Double or Twin Room,3,Couple,7.4,0,0,0,0,0,0,0,0,0,0
"Great hotel for a short-term, overnight stay by Roma Termini.",The overall facilities needs a make over.  The hall way carpets to get to the room had stains all over.,Literally across the street from Roma Termini.  Staff was great and welcoming.  Beds were surprisingly comfortable.  The room was sufficiently clean.,6.0,April 2024,"April 13, 2024",Superior Double or Twin Room,1,Family,7.4,1,1,0,1,1,0,0,0,0,0
Great location....but,Room was a little cluttered and bathroom needed a better clean. Main bedroom lights stopped working and entry door handle fell off as we were leaving. Luckily the maintenance guy was there and he was attending to it. Room lacked some basics like tissues and a hotel and local guide folder. Had a phone to reception but didn't k lw how to use it.,Great access to trains and local hop on hop off bus IOBus which can be paid for at the Hotel with staff. Staff were very friendly and helpful. Continental breakfast had a great selection of tasty food.,7.0,April 2024,"April 10, 2024",Double or Twin Room,3,Family,7.4,0,1,0,0,1,0,1,0,0,0
"Great location, good value, safe and quiet place to stay",The room is a bit dated but the location more than makes up for it.,"It is in a perfect location, close to the train station and near lots of good restaurants.",8.0,April 2024,"April 7, 2024",Double or Twin Room,1,Couple,7.4,0,1,0,0,0,0,1,0,1,1
Good,No aircon. Room was very hot.,Location and shower pressure,7.0,April 2024,"April 5, 2024",Single Room,1,Solo traveler,7.4,1,1,0,0,0,0,0,0,1,0
Great location,Too warm,Location,7.0,April 2024,"April 4, 2024",Single Room,1,Solo traveler,7.4,0,0,0,0,0,0,0,0,1,0
Very Good,Nothing,Location to station,8.0,March 2024,"April 3, 2024",Double or Twin Room,1,Group,7.4,0,0,0,0,0,0,0,0,1,0
Staff and location outweigh the tired rooms,"Room was well worn, no glasses in room, one of our beds was a little saggy.","Location location location, also the staff are 10/10 if you want to be oposite the train station you can't get any better for the money.",7.0,March 2024,"March 31, 2024",Double or Twin Room,3,Family,7.4,0,1,0,0,1,0,0,0,1,0
Super stay,The hotel is in need of moderniatio,"Location excellent, staff are very friendly and helpful. Beds are so comfortable, spotless clean in need of upgrade. Overall great stay.",7.0,March 2024,"March 30, 2024",Double or Twin Room,4,Group,7.4,1,0,0,0,1,0,0,0,1,0
Very Good,,Nice place for short stay,8.0,March 2024,"March 28, 2024",Small Double Room,2,Solo traveler,7.4,0,0,0,0,0,0,0,0,0,0
Very Good,"The room was hot, and only the heating system was working. No phone in the room, so anything you need, you should go down to reception.",Helpful staff & Perfect location,8.0,March 2024,"March 18, 2024",Single Room,3,Solo traveler,7.4,0,1,0,0,1,0,0,0,1,0
