Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative
fantastic stay.,Only one thing i didnt like was when I checked in I had lots of debit mastercard and debit visa which have plenty of money on them but I could not use for hold at hotel.  I have used these cards at many other hotels with no problems.,Location was great.   Right in the heart of the action in Bangkok.  Staff were friendly and helpful.  The hotel itself was amazing.,10.0,May 2024,"May 28, 2024",Executive Room,4,Solo traveler,9.2,0,0,0,0,1,0,0,0,1,0
Will definitely be back again😉,Nothing,All staff are friendly and helpful especially Housekeeping staff👍🏻,10.0,May 2024,"May 22, 2024",Deluxe Room,7,Couple,9.2,0,0,0,0,1,0,0,0,0,0
Exceptional,Nothing,Every thing,10.0,May 2024,"May 19, 2024",Deluxe Room,5,Group,9.2,0,0,0,0,0,0,0,0,0,0
"Very well taken care of , easy to check in and chk out",,"The ambience 
Courteous staff 
Location",9.0,May 2024,"May 14, 2024",Deluxe Room,4,Couple,9.2,0,0,0,0,1,0,0,0,1,0
Amazing hotel,,"Amazing staff, best beds ever! Clean and tidy. Would stay again and recommend to thise who want a great stay. Cook the door guy was always beaming with the biggest smile and so welcoming.",10.0,May 2024,"May 14, 2024",Family Room,2,Family,9.2,1,0,0,0,1,0,0,0,0,0
GREAT GREAT HOTEL,That I have to leave!,"Service!!!!..the staff is the best. Hotel take note of almost every detail, even send a card and sweets for my birthday to the room. Lol",9.0,May 2024,"May 14, 2024",Deluxe Room,1,Couple,9.2,1,0,0,0,1,0,0,0,0,0
Exceptional,,"The staff are brilliant and carer to every need. The facilities are modern, clean and the staff are very attentive to making sure your stay is as comfortable as possible. Rooftop bar offers great views and a fun way to start an evening. Swimming Pool and Gym are excellent for the location and size of the hotel.",10.0,May 2024,"May 13, 2024",Deluxe Room,9,Solo traveler,9.2,1,0,1,0,1,0,0,0,1,0
My stay at hotel was amazing,,"From the moment I stepped into the elegant lobby, I was enveloped in an atmosphere of luxury and refinement.

The staff greeted me with warmth and professionalism, ensuring a seamless check-in process. Throughout my stay, their attention to detail and commitment to exceptional service truly exceeded my expectations.

The room itself was a sanctuary of comfort and style. Every amenity was thoughtfully curated. I especially appreciated the stunning views of the city skyline, which provided a captivating backdrop to my stay.

The hotel's facilities were equally impressive. The pool provided a blissful retreat, where I could unwind and rejuvenate in luxurious surroundings. 

One of the highlights of my stay was the impeccable attention to detail. From the exquisite decor to the personalized touches, every aspect of the hotel exuded sophistication and elegance.

In conclusion, my experience at this hotel was nothing short of extraordinary. Whether you're visiting for business or leisure, this hotel sets the standard for luxury accommodation. I cannot recommend it highly enough and look forward to my next visit.",10.0,May 2024,"May 11, 2024",Deluxe Room,2,Couple,9.2,1,0,1,0,1,0,0,0,1,0
Top class,Nothing,Class hotel service incredible,10.0,May 2024,"May 11, 2024",Carlton Club Room,3,Group,9.2,0,0,0,0,1,0,0,0,0,0
Great for family,Nothing. Everything was good.,"Great location and clean.
Also has nice swimming pool and all staffs are kind. I highly recommend carlton sukhumvit for bangkok trip.",10.0,May 2024,"May 11, 2024",Family Room,3,Family,9.2,1,0,1,0,1,0,0,0,1,0
