Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative
Exceptional,,"Great location from the airport, they let me check in really early which was great. The room was comfy all around. Staff were amazing and the food was really nice too!",10.0,May 2024,"May 10, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Solo traveler,8.8,1,0,0,0,1,0,1,0,1,0
Ideal overnight stay for plane transfer.,"Airport pickup every hour only (fortunately given time fit ideally my arrival). Saying in correspondence that it is complementary, but before booking it is written just as service included in room rate. Only 2 coffee capsules on the room 🙂","Standard and size of the room. 
Coffee machine. Quick transfer. 
Close to the airport- ideal for staying overnight after late arrival and early morning departures.",10.0,May 2024,"May 8, 2024",King Room - Non-Smoking,1,Couple,8.8,1,1,0,0,0,1,0,0,0,0
Wonderful,,"Good pick-up and drop-off service shuttle from and to the airport.
Very comfortable rooms.
Bottle of water and coffee machine in the room.
Good breakfast.
Friendly & helpful staff.",9.0,May 2024,"May 8, 2024",King Room - Non-Smoking,1,Couple,8.8,1,0,0,0,1,0,1,0,0,0
Exceptional,,Free shuttle to airport,10.0,May 2024,"May 8, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Solo traveler,8.8,0,0,0,0,0,0,0,0,0,0
Wonderful,Shower temp/pressure wasn't the greatest.,Easy to use transfer service. Quiet and comfortable place to sleep on our brief layover. We arrived very late and ordered room service which was delicious and reasonably priced. Coffee pod machine in room.,9.0,April 2024,"May 6, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Couple,8.8,1,1,0,0,1,0,1,0,0,0
Best option close to the airport,,"Huge bedroom
Transfers from/to airport included",10.0,April 2024,"May 6, 2024",King Room - Non-Smoking,1,Couple,8.8,1,0,0,0,0,0,0,0,0,0
Great location and definitely recommend if you want to stay close to the airport.,Nothing that we saw. We stayed one night.,"Location was close to the airport. The room was spacious and comfortable. Shower room was a good size with good shower pressure. We didn’t use the indoor pool so can’t comment. Had dinner at the restaurant and it was good. 

Transfer to airport was hassle free.",8.0,May 2024,"May 6, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Family,8.8,1,0,1,0,0,0,1,0,1,0
Very comfortable and without any problems thanks to reception staff,Can't think of a anything. Everything was perfect.,"Reception staff especially Flavia, Claudio and Miguel were excelent, extremely helpful. They solved aĺl my problems. Many  thanks to them ! I wiill certainly recommend this hotel to all my friends who plan to visit Buenos Aires.",10.0,April 2024,"May 6, 2024",King Room - Non-Smoking,1,Couple,8.8,0,0,0,0,1,0,0,0,0,0
Good reception service,"The lighting in the bedroom is a bit dark. As a result, I left my walking poles in my room on departure - I didn't see them!","The service of the reception staff was outstanding. I had one or two tricky issues during my stay (caused by flight time confusion), which they were a great help with - especially with cancelling one day of my booking. Muchas gracias!",9.0,May 2024,"May 5, 2024",Queen Room with Two Queen Beds - Non-Smoking,3,Family,8.8,0,1,0,0,1,0,0,0,0,0
"Good stay, but be careful from fake taxi services in the name of the hotel","When we arrived at the airport, we could not see the promised shuttle, thus inquired about the shuttle location. A taxi driver with a PAITED WOODEN BOARD with name of the hotel approached us pretending that he was the driver from the hotel. He told us that we will be transferred to hotel free of charge but need to pay $5 as airport entry fees by credit card. As he had the board of hotel name in his hand, we believed. When credit card was given to him near the hotel , the payment got denied by our credit card company as the amount asked was beyond the credit card limit. We tried another card, and same thing happed. When we saw the messages from card company afterwards, it was $3000. But, when we got a call from credit card bank, he hurriedly dropped us near the hotel and fled.   
This is certainly creating a bad reputation to hotel and hotel should investigate who are these people who are trying to cheat the passengers in their name and book them to police.
This is serious matter, hotel management should look in to. 
This is warning to passengers also.","All things are good except the things stated in ""didn't like"". The matter is serious",9.0,April 2024,"May 1, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Group,8.8,0,0,0,0,0,1,0,0,0,1
