Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative,PageRank Score
A suitable and comfortable location from which to launch out and do other activities.,"Breakfast is a bit pricey. A wide selection to choose from, but a lot of vege dishes. And no waffles despite it being on the menu.","The staff were always friendly and willing to help. Issues raised were promptly dealt with. The rooms had terrific views, being able to capture either sunrise or sunset depending on which side of the building one was. The staff helped with our trip to Zanzibar, even to the point of sending someone to the port to get our ferry tickets. Restaurant food was good with a good selection. Four seasons pizza a favourite with one of the group.",8.0,September 2022,"September 22, 2022",Superior Twin Room,1,Family,7.8,1,0,1,0,1,0,1,1,1,0,0.002185926516187131
All good,"Booking is pricing rooms on upper floors, but it is not needed to book them, becuase rooms are always only from level 15 to 21. So you have a great view from all of them (Booked normal room and had it on level 17)","Nice view from rooms to Daressalaam (booked standard room and it was on 17th floor)
friendly and helpful personal
short distance to harbour
welcome drink
clean rooms
good water pressure and always warm water",8.0,April 2024,"April 15, 2024",Standard Queen Room,1,Couple,7.8,1,1,0,0,1,0,1,0,1,1,0.0021707754980447597
AMAZING! I LOVE IT HERE!,ABSOLUTELY NOTHING! Your staff works hard and they are so attentive! The rooms are gorgeous and with the security outside 24/7 you can always feel safe. I thank you for hiring them and they all deserve a raise!! :),"THE STAFF IS AMAZING!!! THE ROOMS ARE GORGEOUS! THE FOOD IS DELICIOUS! KHALFAN!! MY GUY!! Thank you so much for making my stay so pleasant, memorable, and amazing! Khalfan was like my personal butler lol that's how on point and handy he was! When I wanted fruit, go to the ATM, find a cab KHALFAN was there! he walked me to the fruit stand made sure I paid a fair price, separate occasions mind you! walked me to the atm and waited for me then walked me back to the hotel, got me a cab when needed made sure I got a fair price, taught me how to play mancala which they have in the lobby lol.  Khalfan was always around when I came downstairs and was absolutely always pleasant. Him alone just made my stay worthwhile, but wasn't the only bonus! honestly your entire staff is amazing. The check in was easy and amazing! I got the room I wanted which is gorgeous, comfortable, and modern! Consistently had hot water, night time rounds with candy, mosquito spray (if desired) didn't need it they have AC and heat in the rooms :). When you see the pictures online just know you will be wowed when you're there. Okay, let's talk about the restaurant! I requested a traditional dish and was provided that.I thought it was a soup LOL but it wasn't-it was what I ordered. It was good! It was the snapper-I forgot the name of it.Anyway, I was so convinced I had the wrong dish (they delivered it to my room at no extra charge) that I took a picture and brought it upstairs.They told me that's what the dish looked like and if I was okay with it.I said it's fine. Went back down and tried it and cleaned the bowl LOL. Later that evening I was upstairs enjoying the view- PLEASE GO UPSTAIRS TO THE RESTAURANT THE VIEWS ARE SPECTACULAR!!!!!! 360 VIEWS! IT WAS ABSOLUTELY AMAZING!!!!!! While I was upstairs one of the gentlemen insisted that he give me back some of the money because it wasn't what I was expecting. I told him I did enjoy but he kept insisting.",10.0,July 2023,"July 22, 2023",Standard Queen Room,3,Solo traveler,7.8,1,1,1,0,1,1,1,0,1,0,0.002153021202954953
Good,"It is a consistent inssue in Tanzania, that rooms smell like bug spray, and you cannot breathe. Also, there were live bugs in the room. I suggest fumigation with odorless powder or t¿something.","Staff was helpful. The room is nice, and the views from high floor is great.",7.0,April 2023,"April 20, 2023",Standard Queen Room,1,Solo traveler,7.8,1,1,0,0,1,0,0,0,1,0,0.002152893958530087
Ok stay but needed some improvement,"Our room needed some maintenance.  The shower didn't drain very good. Also the tv is difficult to operate because of the need to use two remotes.

We initially didn't get towels. When we called service it took over an hour to receive the delivery and they only gave one towel between the two of us, no hand towels or even a face cloth.",The view was nice and the restaurant on the 20th floor was very good. The bed was comfortable. It was an okay stay for the money. The staff was attentive and did what they could with the resources they were given. The outside elevator was a nice touch.,7.0,December 2021,"December 5, 2021",Standard Queen Room,1,Family,7.8,1,1,1,1,1,1,1,0,1,0,0.002140180581401559
Good,"Breakfast was not good for me. 
They don't provide room toiletries if you don't ask.","Location is very good, the staff are nice. 
Room was clean.",7.0,March 2023,"March 24, 2023",Standard Queen Room,5,Family,7.8,1,1,0,0,1,0,0,1,1,0,0.002135655076159966
It was a good stay.,Its good if you can have variety for breakfast. eg; Mushrooms were served in the same manner for all the days that I took breakfast. Instead you can mix with something else.,Staff was helpful and the location was convenient. Room was good.,7.0,October 2023,"November 27, 2023",Standard Queen Room,2,Solo traveler,7.8,1,1,0,0,1,0,0,1,1,0,0.002135655076159966
"The hotel should be cheaper, more like a 3 star.",A bit dates for a 4star hotel. The aircon wasn’t great.,Location to the airport was good. Smooth checkin process and staff are friendly. The rooms are comfortable.,7.0,December 2023,"December 23, 2023",Superior Twin Room,1,Family,7.8,1,0,0,0,1,0,0,0,1,0,0.002135086552347926
Wonderful,Commode was loose.,"Friendly staff, fantastic view, super clean.",9.0,August 2022,"August 25, 2022",Superior Twin Room,3,Couple,7.8,1,0,0,0,1,0,0,0,1,0,0.002135086552347926
Meets expectations as always. Repeat visitor.,All good,"Location, clean, paid breakfsst, staff",9.0,June 2022,"June 18, 2022",Superior Twin Room,1,Solo traveler,7.8,1,0,0,0,1,0,0,0,1,0,0.002135086552347926
Good cost benefit but quite noisy,"The hotel is a bit run down in general. Old carpets and linens. It is however incredibly noisy at night, even at the 19th floor.","Good, central location, close to the ferry and with easy access to the airport. Friendly and helpful staff. We got an upgrade to a very large room, with big bathroom.",8.0,October 2022,"October 25, 2022",Standard Queen Room,1,Couple,7.8,1,0,0,0,1,0,0,0,1,0,0.002135086552347926
Lives up to their messaging,Nothing significant,"Very helpful staff, free upgrade, good location, comfortable bed, good shower, good city view",9.0,October 2022,"November 4, 2022",Deluxe Queen Room - High Floor,1,Solo traveler,7.8,1,0,0,0,1,0,0,0,1,0,0.002135086552347926
Exceptional,Nothing,"Great and helpful staff, amazing room and view especially, very good location. All recommendations!",10.0,April 2024,"April 15, 2024",Standard Queen Room,1,Solo traveler,7.8,1,0,0,0,1,0,0,0,1,0,0.002135086552347926
Outstanding! Come again!,There is nothing bad at all!,"My 3th Time there! Outstanding Receptionist! Free Suite Upgrad for a 3th Time Returner! Every Corner is clean, nice working AC‘s, nice view and perfectly located in City Center! Come again!",10.0,February 2024,"February 27, 2024",Deluxe Queen Room - High Floor,1,Solo traveler,7.8,1,0,0,0,1,0,0,0,1,0,0.002135086552347926
Very Good,,"Met my expectations, the location is well positioned, the staff friendly and the amenities are good and working properly. +1 for the evident effort on the cleanliness.",8.0,December 2023,"December 27, 2023",Standard Queen Room,3,Couple,7.8,1,0,0,0,1,0,0,0,1,0,0.002135086552347926
