Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative,PageRank Score
"Very convenient, easy walk from the terminals. Kind, helpful staff.",Our bathroom smelled very bad. Like sewage. I've experienced this before in 3rd world hotels that lack a proper pee-trap. Was not expecting it at an expensive airport hotel!,"Very close to the airport which was great given than our flight arrived at 1am. Cool views of the airport and city, especially from the breakfast room. The lobby is very impressive. The staff are kind and helpful.",8.0,February 2023,"February 27, 2023",Camino Real Club Two Beds - Breakfast Included for Adults Only,1,Family,8,1,1,1,0,1,0,1,0,1,0,0.0007495488102931243
Good,The room service good.,"The service room food was too overpriced and didn’t taste good. The tortilla soup was too salty it was unedible. 

However the room and he staff were great and the location is convenient.",7.0,January 2022,"January 3, 2022",Deluxe Two Beds,1,Couple,8,1,1,0,0,1,1,1,1,1,0,0.0007452383825940382
Disappointing,Room size too small mainly jr suite. Bathroom taps and fittings were a bit rusty and brokenish. Water costs 4 times its price! Pool is a bit of a task to find! All plug points dont work.,"Proximity to airport, restaurants within the hotel, amenities. Bed was fabulous, super comfy including pillows.",4.0,March 2022,"April 10, 2022",Deluxe Two Beds,1,Group,8,1,1,0,0,0,0,1,0,1,0,0.0007445742467760216
Great place to stay between flights,The shower temperature adjustment was slightly confusing compared to normal turn for hotter temperature as it went colder.,"Location, check in speed, porterage to the room, comfortable room and good selection at the buffet breakfast. Finally transport to Terminal 2.",9.0,January 2024,"January 23, 2024",Superior Double Room,1,Couple,8,1,1,0,0,0,0,1,0,1,0,0.0007445742467760216
Exceptional,why is the bed on little wheels? I usually move when I sleep or when watching TV and i was going all over the place!,"Immaculate location, with transport to the 2nd terminal, the bed is really comfy, the room was clean, even the restaurant was really good!",10.0,March 2024,"April 1, 2024",Deluxe Queen,1,Solo traveler,8,1,1,0,0,0,0,1,0,1,0,0.0007445742467760215
Decent layover stay - very helpful staff,The old part of the hotel was quite run down. No pictures of the old rooms displayed when initially booking.,The location is perfect for a layover. My wife and I stayed for two nights. We were originally put in the old part of the building which felt very dated in comparison to the main building. There was a street party next to the hotel that was so loud it was vibrating our entire room. The staff were very helpful and moved us to a room in the main building once I explained my wife was pregnant and needed to sleep.,8.0,November 2022,"November 5, 2022",Deluxe Queen,2,Couple,8,1,1,1,0,1,0,0,0,1,0,0.0007417613765521749
Quick Overniter in a luxury hotel,We had a coffee maker but no coffer pods.  That should be checked better after cleaning the room.,"We always try to stay at least one night at Camino Real Aeropuerto, the location makes it very easy to arrive in the afternoon and fly out the next day.  The staff is always accommodating and treat you with respect.  The rooms are small but comfortable and the general area spaces are good to hang out in for an hour if you are waiting for your plane.",9.0,February 2024,"February 2, 2024",Camino Real Club Two Beds - Breakfast Included for Adults Only,1,Couple,8,1,1,1,0,1,0,0,0,1,0,0.0007417613765521749
Fair,"Very noisy at the reception area. You could hear everything from our room which did not let us sleep until later. This is quite ironic given that you could not hear a plane take off or land but you could hear everything from within the hotel. 
Moreover, the indoor pool was out of service. Not ideal, particularly during high season. Spa facilities had a nasty smell, had mould in the changing rooms and turf was old and broken in most of the areas around the pool. Management needs to pay serious attention to these details and urgently make an upgrade, particularly if the hotel is classified as a five star.",Location is perfect if you have an early morning flight. Comfortable bed and staff were helpful and friendly.,5.0,January 2024,"February 21, 2024",Superior King Room,1,Couple,8,1,1,0,1,1,1,0,0,1,0,0.0007397080835341142
Good,The front lady wen you check in.she was the 4th from the elevator to the exit.and the bathroom it was hair on the toilet,.the location the beds and the restaurants,7.0,August 2023,"September 28, 2023",Deluxe Queen,1,Couple,8,1,1,0,1,0,0,1,0,1,0,0.0007363353788928124
Very convenient location.....great if refurnished,"Very dated hotel, in serious need of a renovation. Rooms not very appealing, with some mold joints in the bathroom.
The gym is again dated. Spin bikes/weights, although somehow finctioning,  are last century models. Again, needs some renovation.","The location by the airport (literally 5 minutes walk) is excellent for connecting flights.
Breakfast (included in our rate) was good, the bed comfortable.",6.0,January 2024,"January 18, 2024",Deluxe Queen,1,Couple,8,1,1,0,1,0,0,1,0,1,0,0.0007363353788928123
