Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative
Very Good,Air conditioning a little temperamental. Noise from trains as line near hotel.,"Great location, 10minutes walk from Hammersmith tube station with easy access to central London.
Excellent breakfast. Nice room and comfortable bed. Would definitely stay again.",8.0,May 2024,"May 18, 2024",Standard Double Room,2,Couple,8,1,0,0,1,0,0,1,0,1,1
Wonderful,The carpet had a lot of stains and the windows have never been cleaned.,"The staff was amazing, very helpful and kind. Breakfast was excellent. Location near station, restaurants, shops. Recommended for familys.",9.0,May 2024,"May 16, 2024",Standard Double Room with Sofa Bed,1,Family,8,0,0,0,0,1,0,1,0,1,0
Good,Bathroom a bit dated but can’t be helped,"Clean, staff very friendly and helpful, and free breakfast!!",8.0,May 2024,"May 14, 2024",Standard Double Room,1,Couple,8,0,1,0,0,1,0,1,0,0,0
Perfect for an overnight stay.,Very temperamental TV.,Very clean. Helpful friendly staff. Good breakfast. Comfy beds. Close to underground. Very quiet.,8.0,May 2024,"May 12, 2024",Standard Twin Room,1,Family,8,1,0,0,0,1,0,1,0,0,0
Staff are helpful and nice,Limited choice of tv program,Location and nice breakfast,8.0,May 2024,"May 12, 2024",Standard Twin Room,2,Couple,8,0,0,0,0,0,0,1,0,1,0
Great value and location to explore London. Very friendly staff.,"Room was a little tiny for our 4-member family. Breakfast was the same each day, but it was good enough to give us a boost for whole day of exploring the city.","Hotel was in very nice place, on lively street, only a few minutes of walking to Hammersmith Underground Station. We liked that breakfast was included. Very friendly staff.",8.0,May 2024,"May 12, 2024",Standard Double Room with Sofa Bed,8,Family,8,0,1,0,0,1,0,1,1,1,0
Perfect for our Concert at the Apollo.,,Comfortable beds. Good room. Close to the Apollo Theatre.,9.0,May 2024,"May 12, 2024",Standard Twin Room,1,Group,8,1,0,0,0,0,0,0,0,0,0
Very Good,Beds and pillows were not the most comfortable.,The hotel is very simple but it is clean and freshly decorated. Room size is good. 8-9 min walking distance from the tube and buses. Breakfast is very basic but there are plenty alternative options nearby if you fancy something nicer. Good price-value ration taking into consideration it is central London.,8.0,May 2024,"May 10, 2024",Standard Double Room with Sofa Bed,4,Family,8,0,1,0,0,0,0,1,0,1,0
Good,The breakfast could have some more options for non-UK guests.,"Perfect location, close to Hammersmith station.",7.0,May 2024,"May 9, 2024",Standard Double Room with Sofa Bed,5,Family,8,0,0,0,0,0,0,0,1,1,0
Good location and we did had a nice stay and a warm welcome.,The breakfast needs to be spread out more and better access to the plates. Also the sheets are not big enough and can hear everything outside.,The hospitailty of the staff very welcome and kind. The happy hour.,7.0,May 2024,"May 7, 2024",Standard Double Room with Sofa Bed,1,Couple,8,0,1,0,0,1,0,0,1,0,0
