Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
Short stay-In from Singapore @ 1700 → left for Tokyo @ 0600. Accommodations were perfect.,It would have been nice to have  bidet on the toilet.,"The room was very quiet for being by the airport. We could not hear the planes when we were inside the room, but outside, you could hear them. The bed and bathroom were comfortable.",9.0,June 2024,"June 3, 2024",Standard King Room,1,Group,8.7
Friendly staffs and beautiful hotel,Nothing to dislike,Next to the terminal,10,March 2024,"June 1, 2024",1 King Bed Standard Jewel Wing,1,Solo traveler,8.7
Great location and awesome room,Nothing,Amazing location and beautiful view of the pool area from room.,10,May 2024,"May 30, 2024",Standard King Room,1,Couple,8.7
Disappointed regards the noise level of the air con. We spent the previous week in a property downtown Singapore (less t,Our air conditioning was so loud we had to move at 245 in the morning,It was a lovely place to stay close by departure,8.0,May 2024,"May 30, 2024",1 King Bed Standard Jewel Wing,1,Couple,8.7
We had an over-night stopover on a long haul flight. It was fantastic,,It’s right at the airport!,8.0,May 2024,"May 29, 2024",1 King Bed Standard Jewel Wing,1,Couple,8.7
Great,,The room was spacious and clean. Allowed me to take my meetings with no issue at all,9.0,May 2024,"May 28, 2024",Standard King Room,1,Solo traveler,8.7
Exceptional,The food in the restaurant was the only disappointment. I had a salad which was just okay. But the minestrone soup was the worst I have ever had.,,10,May 2024,"May 27, 2024",1 King Bed Standard Jewel Wing,1,Solo traveler,8.7
Wonderful,,"Very convenient for airport travel, directly connected the airport. Nicely appointed. Breakfast buffet was very good.",9.0,May 2024,"May 25, 2024",1 King Bed Standard Jewel Wing,1,Solo traveler,8.7
Exceptional,I wish we stayed longer! Lovely hotel and I will make sure to stay longer next time to make better use of the facilities.,"We booked to stay to make for an easier early-morning international flight, and I'm so glad we did. The quick walk from terminal 3 to board our flight was a breeze, especially after an evening swim and comfortable sleep in the most comfortable bed!",10,May 2024,"May 24, 2024",1 King Bed Standard Jewel Wing,1,Family,8.7
Loved my stay and look forward to returning soon.,Nothing.,Everything the staff were amazin.,10,April 2024,"May 24, 2024",Standard King Room,1,Solo traveler,8.7
Excellent and professional staff,,"Excellent and professional staff, would recommend your hotel to friends and family",10,May 2024,"May 23, 2024",1 King Bed Standard Jewel Wing,1,Couple,8.7
Exceptional staff with the authority to act on their own initiatives providing a personal experience,,The staff just lovely. Provided my husband and I very early check in at 9.30am as they could see our exhaustion from our travels. We did not expect this as check in is normally 3pm! We are both extremely grateful for the care the staff provided us during our stay.,10,May 2024,"May 20, 2024",Standard King Room,1,Couple,8.7
Exceptional,,"Perfect location and service! I highly recommend it! 
Nice aircon, flexible and kind staff! Let us do late check out.
Wonderful breakfast!",10,May 2024,"May 18, 2024",Standard Room,1,Group,8.7
Perfect for a stopover.,,Great location. Entrance from terminal 3 and entrance to the jewel shopping centre. Staff were wonderful. Room was very comfortable and quiet.,10,May 2024,"May 18, 2024",1 King Bed Standard Jewel Wing,1,Couple,8.7
5 star,Nothing,Everything,10,May 2024,"May 18, 2024",Standard Room,1,Couple,8.7
