Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
Great price quality,Not sure that the baggage left at the reception were in security. The staff barely checked when I took my luggage back.,The price quality ratio and the location. Hotels are very expensive in Madrid. For 50% of the price of a standard hotel this was really good. The staff was really nice.,10,June 2024,"June 23, 2024",Budget Double Room,1,Solo traveler,8.5
Wonderful,There was no table or somewhere where you can  leave something like a bottle of water or anything. There was also no hanger for the towel for example to hang it to dry after showering. The last thing was the AC couldn't be regulated from the room and we were barely feeling it esp at night but the good thing was that the windows weren't locked and we could leave them for the night (if it wasn't too loud).,"The location is more than perfect! Everything is about 10-20mins walk, you also have a metro station nearby (like less than 5min walking). It was clean, the bathrooms were always well maintained and there were enough for everyone. I recommend it even for solo female travelers- the atmosphere is very friendly, the staff speaks decent English as well if you don't speak Spanish. And last but not least- the value for the money and the location is absolutely insane ❤️ Thank you for having me.",9.0,June 2024,"June 22, 2024",Single Bed in 8-Bed Female Dormitory Room,3,Solo traveler,8.5
Very Good,"Still no full body mirrors XD
Bathroom hand soap dispensers never work.
Entrance to the hostel can be quite small, specially if there's a lot of people checking in/out at the same time.","Location is great and price as well. I always keep coming back to this hostel.
Beds have a curtain for privacy, they provide a lock for the under bed storage which you have to return (of course) and there's a deposit for it, which is returned once you provide the lock and key card of the room.",8.0,June 2024,"June 19, 2024",Single Bed in 8-Bed Female Dormitory Room,1,Solo traveler,8.5
Exceptional,,"The location, the privacy, and the breakfast. all of these were amazing.",10,June 2024,"June 18, 2024",Bed in 8-Bed Mixed Dormitory Room,1,Solo traveler,8.5
At front desk were very helpful in keeping our luggage safe while we could check in and out,,"I stayed with my daughter and felt very safe, also location was a MUST, my private room had a very nice view!",9.0,May 2024,"June 18, 2024",Budget Double Room,1,Family,8.5
Excellent and value for money,,Cleaningliness,9.0,June 2024,"June 18, 2024",Bed in 8-Bed Mixed Dormitory Room,2,Solo traveler,8.5
Exceptional,,Everything!,10,May 2024,"June 18, 2024",Bed in 10-Bed Mixed Dormitory Room,1,Solo traveler,8.5
Exceptional,,The location is close to main activities in the city.,10,May 2024,"June 18, 2024",Bed in 8-Bed Mixed Dormitory Room,2,Solo traveler,8.5
Fantastic hostel in central location with friendly staff,Nothing,"I loved the central location. It’s walkable to everything. It’s 10 minutes walk from the #203 AirPort Express bus. I loved that everything was so clean, so organised and the staff were so helpful, that your bunk bed has its own light and charging point…",10,June 2024,"June 17, 2024",Single Bed in 8-Bed Female Dormitory Room,2,Solo traveler,8.5
Wonderful,There was a guy touching himself at the early morning. Very unconfortable.,"Clean, location, easy to checkin and checkout, comfort and colaborators.",9.0,May 2024,"June 16, 2024",Bed in 8-Bed Mixed Dormitory Room,3,Solo traveler,8.5
