Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
Amazingly convenient,,"Very nice hotel, very friendly, knowledgeable and helpful staff, rich breakfast and good food at the restaurant.",10,April 2024,"April 14, 2024",Superior Double,2,Couple,9.2
Very good location,"If you are choosing a room with view, be prepared to wake up early due to the noise of trams,cars and buses.",Location was very good. And the restaurant was reaaly nice.,9.0,April 2024,"April 7, 2024",Standard Double,1,Solo traveler,9.2
Very comfortable.,,Very clean and central. Good buffet breakfast.,10,April 2024,"April 5, 2024",Standard Double,4,Couple,9.2
A luxurious fun weekend,Spacious,"Very clean, comfortable and central",10,March 2024,"March 30, 2024",Deluxe Double Room,3,Couple,9.2
Great location and very clean,,"Very friendly staff, exceptionally clean, and convenient location.",10,March 2024,"March 28, 2024",Superior Double,4,Couple,9.2
Excellent hotel in the center for business traveler,I got a room with no view - overlooking innner court with ugly walls but it was very quiet.,"Hotel is conveniently located in the center, 5 min walk from Central Sattion and Zloty tarasy shopping mall.
Nice hotel, vast room, vast bathroom with a bathtub, clean, comfortable bed, good desk for work, good lights.
The reception staff was very friendly offering me early checkin and also storage room for luggage.",9.0,March 2024,"March 26, 2024",Standard Twin Room,1,Solo traveler,9.2
Great place in the center,In the shower was poor water pressure.,Location and facilities.,9.0,March 2024,"March 26, 2024",Deluxe Double Room,1,Couple,9.2
Exceptional,,It's very nice and comfortable hotel. It was a very grateful pleasure to stay there. I am really satisfied.,10,March 2024,"March 25, 2024",Superior Twin Room,2,Group,9.2
Excellent,,"Luxury and relax atmosphare. Located central so easy to find nice restaurants and to get metro, bus or train to see around the city.",9.0,March 2024,"March 23, 2024",Superior Single Room,2,Group,9.2
Wonderful stay,,"Hotel Polonia Palace was the best choice we could make! It's in the best location, in the middle of everything. The staff at the front desk was very kind and helpful (especially Victoria). Breakfast was very good, we even drank champagne! Also, the coffee was really good too. Best regards, Dimitris & Youlie (room 418)",10,March 2024,"March 20, 2024",Standard Double,3,Couple,9.2
Exceptional,Nothing comes to mind.,"The hotel is beautiful and right in centrum. The room was big, with good working conditions, and a comfortable bed. The staff was extremely helpful and friendly. I would recommend this hotel to everyone.",10,March 2024,"March 20, 2024",Superior Double,5,Couple,9.2
Great overnight stay in a very comfortable location,Would be nice to have a dental kit in the Hotel of that standard.,"Excellent location, greast breakfast and nice rooms.
Appreciated we were allowed to check in couple hours earlier then official check-in time.
All the staff in Hotel was professional and very welcoming. Will definitely repeat.",9.0,March 2024,"March 20, 2024",Standard Twin Room,1,Family,9.2
Well situated and comfortable four star hotel,Merely adequate water pressure (likely not something the hotel can control).,Great location in city center. Comfortable room. High end furnishings. Good breakfast (albeit smaller than most four star hotels). Option to skip housekeeping for a 20 PLN voucher for use at the bar.,10,March 2024,"March 19, 2024",Standard Single Room,4,Solo traveler,9.2
Immaculate stay…..,N/A,"The hotel is immaculate and very good value for money. Service was excellent. All round, a superb hotel…..",10,February 2024,"March 17, 2024",Superior Twin Room,3,Family,9.2
Wonderful,,Bedroom,9.0,December 2023,"March 15, 2024",Family Room (2 Adults + 2 Children),2,Family,9.2
Best location in Warsaw!,,"Excellent location, beautiful building, spotlessly clean",9.0,March 2024,"March 12, 2024",Standard Twin Room,3,Group,9.2
Exceptional,Sometimes we heard noice from the hall from trolley or luggage.,"Comfortable, spacious and clean room, very good location near center and other activities, guiet at night. Beautiful building inside and outside. If I'm ever in city, I'll stay here again.",10,March 2024,"March 11, 2024",Standard Double,2,Family,9.2
Wonderful,,perfect!,9.0,February 2024,"March 6, 2024",Standard Single Room,4,Group,9.2
Would stay here again,,Room and hotel and facilities were great. Do not eat at the hotel except once for lunch. Great location and short ride or long walk to Old Town.,10,March 2024,"March 6, 2024",Standard Double,6,Couple,9.2
Wonderful,,Great breakfast!,9.0,February 2024,"March 3, 2024",Standard Double,1,Couple,9.2
Very good quality hotel. Worth the price. Very enjoyable stay.,None.,"Excellent location. 10 minute walk from railway station. Helpful staff. Lovely building, good food.",9.0,February 2024,"March 2, 2024",Standard Double,2,Couple,9.2
"Beautiful experience, would happily return.",,"Amazing property, very clean and with an incredible breakfast!",10,December 2023,"February 27, 2024",Standard Double,2,Couple,9.2
Wonderful,The staff were rude and made me uncomfortable as they were adamant about us taking pictures.,I liked the overall aesthetic and the room was clean.,9.0,February 2024,"February 26, 2024",Superior Double,1,Couple,9.2
