Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
"Wonderful stay with friendly staff - very central, clean and comfortable",,Excellent location and very comfortable,10,March 2024,"March 10, 2024",Twin Room,2,Group,8.9
"Great hotel, will come back soon",,"The property located in a great location in the old city, near restaurants and bars",10,March 2024,"March 9, 2024",Queen Room,4,Family,8.9
"Excellent location, comfortable, clean and delicious breakfast",,"Great location, the room was very comfortable and clean and the breakfast was excellent with a wide choice of food.",10,March 2024,"March 7, 2024",Queen Room,1,Family,8.9
We will stay here again if we return to Bucharest.   (We recommend you do the trip to Transalvania).,There was nothing negative about this hotel.  We thoroughly recommend this hotel (see youtube shalalala amigo for video review),Ideal location for exploring the Old Town (within five minutes walk).  The hotel is located near the Metro and in walking distance to the Old Town.   The staff were professional and friendly in reception and in the restaurant.   Housekeeping were amazing!,10,February 2024,"March 4, 2024",Queen Room,3,Couple,8.9
Exceptional,,Thank you for the flowers,10,March 2024,"March 3, 2024",King Room,1,Couple,8.9
"Great location, lovely staff",,The property is in a great location and is nice and clean,9.0,March 2024,"March 3, 2024",King Room,1,Couple,8.9
A very comfortable and pleasant stay with helpful and friendly staff.,"AC was rather loud at times and there was hair in the shower.  It was unfortunately not all cleaned up after I advised about it, maybe a more thorough inspection required for the bathroom.  Rest of the room was very clean.","Central location, easy to get around the city from the hotel.  The room was comfortable as spacious.  The front office and bar/restaurant staff were helpful and welcoming.  A special note to Cristian at the bar whose warm and kind interaction made our evening after a long day.  I also appreciated the kind apologiy note and gesture after I advised there was hair in my shower from previous guest.  Thanks to the Front Office team for that.",8.0,February 2024,"March 3, 2024",King Room,2,Group,8.9
Exceptional,,Very good! The staff was fabulous!!!  We enjoyed a lot from the hotel and uts services,10,February 2024,"March 3, 2024",Queen Room,4,Group,8.9
Perfect Location for a Oldtown Stroll,all was fine,"Good Location, clean room & not noisy",8.0,February 2024,"February 27, 2024",King Room,2,Couple,8.9
Enjoyed our time.,Windows cannot open on the 5th floor - would have liked some fresh air.,Location was great. The decor of the hotel was great.  Staff was awesome.,10,February 2024,"February 26, 2024",Queen Room,2,Group,8.9
Exceptional,,The bed was extremely comfortable.,10,February 2024,"February 23, 2024",King Room,4,Couple,8.9
Stephan you’re the best!,,Everything was perfect,10,February 2024,"February 19, 2024",Queen Room,3,Solo traveler,8.9
comfortable as expected,"my friend would have liked some black tea rather than earl grey, but other than that nothing bad!","location was perfect, room was comfortable and wasnt too noisy outside, staff were really friendly",9.0,February 2024,"February 16, 2024",Twin Room,2,Group,8.9
Exceptional,,"Exceeded my expectations, everything was impeccable, spacious, clean room, excellent service. Could not recommend more.",10,February 2024,"February 14, 2024",Twin Room,3,Family,8.9
Enjoyable stay,,"This hotel was well located for wandering around the old town, rooms were very comfortable and of a good size
Breakfast was included in our booking, there was a great choice to suit all tastes, I couldn't personally find a tea i liked, but that's  just down to preference ( I felt the breakfast tea was quite strong and bitter)
We had a drink in the hotel bar one evening which we felt was very expensive, especially compared to the local restaurants nearby
We came by train from the airport and local taxis were charging us 130 lei, per taxi ( we needed 2 as there was 4 of us and none of the taxis could fit in all our luggage)this was the cost from the train station to the hotel , luckily my daughter had the ""Uber "" app and we used them instead, at a cost of 17 lei !! So a huge difference, and he managed to fit all 4 suitcases in so we only needed one, just be aware of this",10,February 2024,"February 13, 2024",Twin Room,3,Family,8.9
Exceptional,,The location is great,10,February 2024,"February 12, 2024",Queen Room,3,Group,8.9
Great location in Bucarest..,not much,Location is excellent Breakfast is good and Hotel is very clean,8.0,January 2024,"February 12, 2024",King Room,1,Family,8.9
Excellent all round,No issues. Only would have liked the shower to be hotter.,"Excellent location, clean, safe and an excellent breakfast.
Also good value for money given the property and the location.",9.0,February 2024,"February 8, 2024",Queen Room,1,Solo traveler,8.9
Wonderful,Not enough facilities on the gym,Room is new,9.0,February 2024,"February 7, 2024",Twin Room,6,Group,8.9
"Wonderful hotel, centrally situated in the Old Town, with efficient, very friendly staff",It would be difficult to find something that we didn't like.  Everything was perfect for us.,"The location was excellent.  In the centre of the Old Town where we could just wander out of the hotel and be where we wanted to be within minutes. 
The breakfast was buffet style with everything you needed or could want. An important advantage of this hotel is that is serves breakfast from 06:30 in the morning.  This allowed us to eat before going on all day trips, which was wonderful.
The room was big and super clean. 
The staff were super friendly.  We also sampled the room service for dinner one evening and our meal was excellent.",10,February 2024,"February 6, 2024",King Room,3,Couple,8.9
Best localisation in old town. Very comfy and tidy rooms. Super friendly reception staff.,,Best localisation in old town. Very comfy and tidy rooms. Super friendly reception staff.,10,February 2024,"February 5, 2024",Twin Room,3,Group,8.9
Exceptional,,"Staff, breakfast, room, location-everything was perfect! 
Despite it is in the city center rooms are very quite!",10,January 2024,"February 5, 2024",King Room,2,Solo traveler,8.9
Exceptional,,"Staff were friendly and helpful, great location and the room was great",10,February 2024,"February 5, 2024",Twin Room,2,Group,8.9
Exceptional,Everything was perfect,"Great location, good breakfast.   Room was spacious and clean",10,November 2023,"January 31, 2024",Twin Room,3,Group,8.9
Exceptional,,"Room is extremely quiet, breakfast is amazing, location is very convenient",10,January 2024,"January 30, 2024",King Room,2,Couple,8.9
Exceptional,,The location was amazing! In the heart of the old town and everything was right on the door step! The room was beautiful! I could not recommend this hotel more!,10,January 2024,"January 29, 2024",Queen Room,2,Couple,8.9
Wonderful,,"excellent location all u expect from  an "" hilton"" hotel",9.0,January 2024,"January 28, 2024",Twin Room,1,Couple,8.9
The location was great and close to everything. Staff was very friendly and accommodating.,Nothing,Great location! Staff is excellent!,10,January 2024,"January 25, 2024",Queen Room,1,Couple,8.9
Exceptional,,Everything was amazing.,10,December 2023,"January 25, 2024",Queen Room,2,Family,8.9
We were very happy of our stay. A very nice hotel with friendly staff. If we ever go back to Bucharest we would not even,,The location is perfect. It’s right in the center of the old town and our room had a nice view of the beautiful surrounding buildings. Cafeterias and restaurants are nearby as well as Van Gogh cafeteria which is quite famous. The room was perfect. A large comfy bed and a beautiful bathroom as well. Overall the room was very clean. The staff was very friendly and they were always asking if we need anything or to clean our room. The breakfast has a variety of food and whatever we tested was pretty good.,10,January 2024,"January 24, 2024",King Room,5,Couple,8.9
Very Good,,My room was very welcoming and I appreciated the possibility of making myself a tea,8.0,November 2023,"January 16, 2024",Queen Room,1,Group,8.9
Great place to stay. Good value for money,,"Room was clean, comfortable and spacious. Breakfast was nice with plenty of choices.  staff were friendly and helpful. Location was great with loads of bars and restaurant outside the door",8.0,January 2024,"January 16, 2024",King Room,2,Couple,8.9
Exceptional,,"Amazing customer oriented service. Perfect location! Very polite and educated staff! By mistake I booked one more day that I did not use, they managed to cancel and refund the entire cost in a very reasonable time-frame! 
Thank you so much",10,December 2023,"January 15, 2024",Queen Room,2,Family,8.9
Thoroughly enjoyable.,,The staff were excellent and helpful with any advice required.,10,January 2024,"January 5, 2024",Queen Room,4,Couple,8.9
Wonderful,"The only downgrade in my book is that there was an extremely arrogant and annoying security guard during the late hours. We were sitting on the lounge and he couldn’t stop watching us (in a bad way) for hours, he was being disrespectful and used “brother” when talking to the girls. He also had a funny hairstyle making him look even more dumb and didn’t have any manners. I would absolutely suggest Hilton Garden Inn to replace him with someone else because he gives a bad impression and does noot look suitable for the job. That’s a hotel not a nightclub!","It was clean, comfortable and majority of the staff were professionals.",9.0,January 2024,"January 4, 2024",Deluxe King Room with City View,5,Couple,8.9
Exceptional service and facilities in a beautiful area in Bucharest,,"Everything was perfect. Modern room, great facilities and impeccable service by the staff! Breakfast had many choices, and the restaurant at this hotel was also really good",10,December 2023,"January 3, 2024",Queen Room,1,Family,8.9
"Wonderful time here, staff is so friendly and helpful.",Breakfast buffet,Convenient to city center.,10,January 2024,"January 2, 2024",Twin Room,6,Solo traveler,8.9
Fantastic stay. Will definitely return.,,My third time in this hotel. Location is exceptional. Staff are super friendly and ready to help. Super gluten free options for breakfast and room extremely clean.,10,November 2023,"January 2, 2024",King Room,5,Couple,8.9
Wonderful,The air conditioner was not working.,"It was a very comfortable stay, I would prefer here again.",9.0,November 2023,"January 2, 2024",Queen Room,2,Couple,8.9
Exceptional,Nothing,Everything,10,December 2023,"December 28, 2023",Twin Room,3,Group,8.9
"Nice hotel,great location","Breakfast was just basic ,nothing impressive",Great location and friendly staff.,8.0,December 2023,"December 17, 2023",King Room,2,Couple,8.9
Hillton garden inn budapest old town,Nothing.,Very good hotel good staf and nixe bed and bathroom. Very central.,10,December 2023,"December 17, 2023",King Room,3,Family,8.9
Value for money,,"All perfect, and we appreciated the early check-in!

Location is right in the old town, super convenient for tourism.",10,December 2023,"December 14, 2023",Queen Room,1,Couple,8.9
