Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
Very Good,,They gave us a package breakfast as we left too early for buffet,8.0,December 2023,"December 25, 2023",Executive Twin Room,1,Couple,8.2
Wonderful,It was very noisy. The cleaning staff ignored do not disturb sign on the door and entered our room before checkout.,The room was big and bed was comfortable. Good breakfast.,9.0,December 2023,"December 20, 2023",Executive Double Room,1,Couple,8.2
Good,Staff did not speak english. There was a party at the hotel so it was very noisy. We could also hear airplanes very loudly all night long and people from nearby room going to the bathroom at nite. The restaurant was a bit chaotic in the afternoon and checking is a bit slow.,Bed was comfortable.,7.0,December 2023,"December 20, 2023",Executive Double Room,1,Couple,8.2
"Very good, I would come back again.",The mail didnt respond quickly to know where the transport is located.,"The attention, the patience and how they explain everything is very good.",9.0,December 2023,"December 19, 2023",Executive Double Room,3,Solo traveler,8.2
Great in proximity to the airport,place a heater in the rooms,Very convenient place that is very close to the airport.,9.0,October 2023,"December 15, 2023",Executive Double Room,1,Solo traveler,8.2
Was good,The room itself was clean and comfortable but what ruined everything was that we found a lot of man's beard in the bathroom sink,"Friendly staff, location",8.0,December 2023,"December 14, 2023",Executive Twin Room,1,Family,8.2
Good,"Room outdated, you have to ask for a blow dryer and iron at the front desk no shampoo they only have all in one soap","Staff very friendly, good service,the food was great",7.0,December 2023,"December 12, 2023",Junior Suite,3,Couple,8.2
Great place for travelers.,It was a good hotel.,The staff was amazing. Breakfast good. Location is very convenient. Bus shuttle service is so helpful!,8.0,December 2023,"December 12, 2023",Executive Double Room,1,Solo traveler,8.2
Wonderful,"Check in took a really long time. There should be more staff at check in to speed up the process. 
The room was incredibly cold at night. There were blankets so we managed. There was a thermostat on the wall but no instructions on how to use it and we couldn't work it out. It would have been helpful to have instructions.
Also at 7.30am a member of staff knocked on our door - we don't know why but it woke us up unnecessarily - I assume this was a mistake but there was no apology.
I would have liked more vegetarian options at breakfast.","Comfortable beds and amazing shower. 
Staff were all friendly.
Great location near the airport.",9.0,December 2023,"December 11, 2023",Junior Suite,1,Group,8.2
A will  go back,Every think wos  good,Good,8.0,November 2023,"December 11, 2023",Executive Double Room,1,Solo traveler,8.2
Wonderful,There was no coffee machine in the room,The staff at the desk was extremely friendly and professional,9.0,December 2023,"December 8, 2023",Executive Double Room,1,Solo traveler,8.2
Wonderful,"It is a convention center as well.
Therefore a lot of traffic of people with access to the elevators with no much suppervision",Proximity to airport,9.0,November 2023,"November 20, 2023",King Room,2,Family,8.2
Will always stay on my connecting flights,"Restaurant it’s under renovation, but they have the little house at the centre.",I love it. It’s close to the airport and service shuttle is great.,8.0,November 2023,"November 19, 2023",Executive Double Room,1,Solo traveler,8.2
Very Good,,We were impressed with the cleanliness of all areas. The free breakfast buffet was incredible. Very hospitable staff. Free shuttle to and from the airport. A great value for the price!,8.0,November 2023,"November 19, 2023",Executive Double Room,1,Couple,8.2
Very Good,,Close to the airport,8.0,October 2023,"October 18, 2023",King Room,1,Couple,8.2
Good,"They do not keep track of your transactions with them very well. They give you the option to either pay in cash or by card…. When I checked out, they didn’t have records of services that I already paid for in cash like massage services, and food ordered at their restaurant. This created a confusion when checking out, which you always would want to go smoothly, especially when you’re catching a flight.",Nice amenities and good location.,7.0,October 2023,"October 7, 2023",King Room,2,Solo traveler,8.2
Wonderful,,Great location near the airport and the receptionists very nice.,9.0,October 2023,"October 5, 2023",Standard Quadruple Room,1,Group,8.2
Wonderful,Cleanliness of room,Dinner,9.0,September 2023,"October 3, 2023",Executive Double Room,1,Couple,8.2
Wonderful,,"Very close to the airport, friendly staff and comfy bed",9.0,September 2023,"September 7, 2023",Executive Double Room,1,Couple,8.2
Very Good,"Restaurant's value for money. Shuttle from the airport to the hotel was pretty chaotically organized. We had just missed a shuttle, hence were the first ones to arrive for the next one and still almost didn't get seats despite a 45 min wait. However, the staff squeezed us in somehow in the end. Communication only in Spanish possible.","Near the airport, comfortable beds and great breakfast. Very good choice for a stop over. 
Shuttle service to the airport went smoothly.",8.0,September 2023,"September 3, 2023",King Room,1,Couple,8.2
Very Good,Rooms need to be more care with maintenance for replacing old/damaged items. Other guests should be told not to make noise when they are in the corridors as this disturbs other guests who want to rest or to have peace.,"Location, very good breakfast, airport transportation availability.",8.0,August 2023,"August 31, 2023",Executive Twin Room,1,Group,8.2
Wonderful,The smoke area it’s too far,Breakfast and transportation,9.0,August 2023,"August 28, 2023",King Room,1,Couple,8.2
Wonderful,,Easy accessible by an airport shuttle. Agreeable beds in spacous rooms,9.0,August 2023,"August 17, 2023",Junior Suite,4,Family,8.2
Missing the spa,Supposed to have a spa but it was in the next building  over.,Room was clean and nice. Restaurant and bar area is nice and food is good,7.0,August 2023,"August 17, 2023",Executive Double Room,2,Couple,8.2
"Needed a clean, convenient place to stay near the airport with free shuttle. This hotel worked!",Some minor repairs were needed on bathroom door and faucets.,Close to the airport with a free shuttle,8.0,July 2023,"August 11, 2023",Executive Double Room,1,Solo traveler,8.2
Very Good,Consider price a little bit high,"Hotel location was good, nearby the airport. Also hotel has shutter to the airport 24 hours.
Breakfast was pretty good.",8.0,July 2023,"August 10, 2023",Executive Double Room,2,Couple,8.2
Very Good,It took more than one hour from getting to the hotel to do the check in.,"Good shuttle service. The place was beautiful, in a great location close to the airport. 
They had a good breakfast.",8.0,August 2023,"August 9, 2023",Executive Double Room,1,Solo traveler,8.2
It's good if you're ok with paying extra just to be super close to the airport,"The rooms are not soundproof, so you can hear planes departing and landing until midnight or so, and the cars on the highway since 5am. If you're a light sleeper this might not be the place for you.
If you're aren't resident of Colombia but you are Colombian citizen you'll probably have to pay taxes at this hotel, unless you show both passports and the entry stamp in your Colombian passport, so don't use Biomig on your entry or you'll have to pay that extra 19%
It was my first time at this hotel, it was good but too pricey for what it offers, I'll stay a bit farther away from the airport next time (maybe closer to the US embassy) for a better deal.","Really close to the airport, there was a person at the airport indicating times and place to wait for the free shuttle, we missed one that was just leaving but the next one arrived around 15mins later. Dinner was pricey but tasty, good portions and well served, the bar was small but comfortable and staff was nice, I'd go back to the restaurant. We indicated during checking that we had to leave before 6am for the airport and they had prepared us breakfast to take out at checkout. Beds were comfortable.",7.0,July 2023,"August 8, 2023",Executive Twin Room,1,Family,8.2
Wonderful,I called to reception  to asked for towels im the morning the staff didn't answer me,"The room was cleaned, beautiful outside gardens and excellent location.",9.0,August 2023,"August 8, 2023",Standard Triple Room,1,Family,8.2
Very Good,"I had a visit from my sister in law, who lives in Bogota, because I needed to give her a package, and it was very complicated and time consuming to give it to her (with the security protocol).","The room was lovely, the bus to the airport was easy and timely, and check in was quick.",8.0,July 2023,"August 4, 2023",Executive Double Room,1,Solo traveler,8.2
Great place close to the airport with shuffle included. The rooms was really tidy and comfortable. The only negative par,Long waiting lines for check in,Close to the airport and shuffle to it. Great breakfast and clean rooms,9.0,July 2023,"August 3, 2023",King Room,1,Solo traveler,8.2
Very Good,"Bartender too serious. Maybe we got used to other parts in Colombia where people were much nicier.

We had booked 4 beds, 2 for our children, but only 3 were properly made. Last one was missing blanket/cover.

Found a hair in one of the beds/blankets.","Good location and spacious rooms.
Transport from airport flawless.
Breakfast was good
Restaurant area also spacious and good.ambience",8.0,July 2023,"August 1, 2023",Standard Quadruple Room,1,Family,8.2
Wonderful,,Great breakfast. Transfer from the airport was quick and convenient.,9.0,July 2023,"July 31, 2023",Executive Double Room,1,Couple,8.2
Wonderful,,"Great location, shuttle service, and friendly staff.",9.0,July 2023,"July 28, 2023",Executive Double Room,1,Solo traveler,8.2
I’ll be staying again,No one answer phone calls before arrival,"Excellent service, nice staff and shuttle to airport service was great and on time",9.0,July 2023,"July 18, 2023",Junior Suite,1,Family,8.2
Practical,Transport people managing onboard disorganized . Check in slow and not automatically check out,Clean and close,8.0,July 2023,"July 17, 2023",Executive Double Room,1,Solo traveler,8.2
Good,"At night, we arrived at a peak time due to the arrival time of international flights, and the check-in was slow. At peak times, they should definitely have more people in the front desk for the check-in.","The location is excellent if you need to be close to the airport, which in Bogotá is quite important  given the traffic of the city.",7.0,July 2023,"July 13, 2023",Junior Suite,1,Family,8.2
Very loud,No working electricity plugs in the room. There was a big gap in between the room door so the noise was extremely loud from the outside and downstairs music. If you are a light sleeper like myself I would suggest another hotel.,Close to the airport and okay room.,7.0,June 2023,"July 10, 2023",Executive Twin Room,1,Group,8.2
Wonderful,,The sink in the bathroom was cracked. The towels were hard. So they need to change the towels for new one's.  Outside of this it was great.,9.0,July 2023,"July 10, 2023",Executive Double Room,1,Couple,8.2
Amazing properties at a great value.,"The only hiccup while staying at Prime was at the restaurant when we dined there late at night. Our food was a little late for my taste and when we got our drinks well after we received our food. Could have been due to the fact that the restaurant was soon closing. Other than that, everything was great.","The property was modern, clean and very good value. Very comfortable, big beds. The staff was polite.  We actually stayed at Habitel Prime on this visit due to Select being overbooked I think.  Both properties look amazing.",9.0,July 2023,"July 3, 2023",King Room,1,Couple,8.2
Great hotel that satisfied our needs while traveling through Colombia.,The only thing I would have liked it is control of the temperatures in the room.,"Proximity to the airport, Clean, modern facility, great security, nice staff, very polite, free shuttle to the airport 24/7. Breakfast was excellent.  Great brand, I will definitely stay again.",9.0,June 2023,"June 29, 2023",King Room,2,Couple,8.2
Wonderful,No water kettle,The blackout blinds were really helpful when your flight arrived at 2am. and you needed sleep late in the morning.,9.0,June 2023,"June 26, 2023",Executive Twin Room,1,Couple,8.2
Wonderful,Check-in queue always seemed to take forever.,1/2 hour airport shuttle is great. Rooms are quiet. Staff is very friendly,9.0,June 2023,"June 25, 2023",Executive Double Room,1,Solo traveler,8.2
Nice hotel,The room was comfortable but one of the blackout curtains was missing.,Front desk people are very helpful. Also they have shuttles to the airport and the mall nearby for free.,8.0,June 2023,"June 24, 2023",King Room,1,Family,8.2
