Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
Very Good,,Good,8.0,June 2023,"September 2, 2023",Standard King Room,1,Solo traveler,7.7
Good stay spoilt by inconsiderate guest.,During this stay noisy guest coming in at around 2 am talking loudly and tv on loud.,Great location in the centre of Riyadh.  Ideally positioned for getting around the city and Kingdom Tower and Mall just a 5 min walk.,7.0,August 2023,"August 31, 2023",Standard King Room,11,Solo traveler,7.7
Re-innovation,The electric blug or adapter is very low and not easy to use for the iron or chargers and old style not applicable for the new one.,"The work welcoming, and team are fast response",8.0,August 2023,"August 30, 2023",Standard King Room,3,Solo traveler,7.7
Good for a stay up to 1 month,"The carpets are very spoiled, and young Arabic boys miss behave in the breakfast room and their parents don’t say anything!;(","Very central and excellent breakfast and they reacted fast when a water pipe broke in my bathroom and gave me an upgraded room 
Nice solid gym and pool in the basement",9.0,July 2023,"August 4, 2023",Standard King Room,7,Solo traveler,7.7
"Good value, clean hotel in city centre location.  Will be booking again shortly for my next visit.",Wi-Fi was very slow.,Excellent location in centre of city.,9.0,July 2023,"July 31, 2023",Standard King Room,6,Solo traveler,7.7
Very Good,"The wifi connection was horrible, not really pleasant for a business traveler to do my job in this hotel",Big room equipped carefully with everything,8.0,July 2023,"July 26, 2023",Standard King Room,3,Solo traveler,7.7
"Great location, good hotel",Tired furniture,"Location, the gym, the affordable room service meals and the nice staff",8.0,July 2023,"July 13, 2023",Standard King Room,2,Solo traveler,7.7
Very Good,Breakfast menu needs review,All was very good but need to review the breakfast menu,8.0,June 2023,"June 16, 2023",Standard King Room,3,Solo traveler,7.7
comfy hotel with an amazing gym,The interiors and the furniture is a bit dated.,"Good internet connection, great location on Olaya street, AMAZING GYM, comfy bed, pillows and good AC.",7.0,June 2023,"June 8, 2023",Standard King Room,2,Solo traveler,7.7
Very Good,Nothing,"Price, space, location",8.0,May 2023,"May 26, 2023",Junior Jacuzzi suite,1,Solo traveler,7.7
"Good spot, popular and easy to reach","The decorations and furniture are good but still need renovation, in both room and facilities","Excellent location 
The street view on Kingdom tower and Olaya street",8.0,May 2023,"May 22, 2023",Standard King Room,5,Solo traveler,7.7
Good,"the bathtub wasn't clean, I saw hair. Room was dark, decor dated, women don't have access to a swimming pool","large room, attentive staff, location near Kingdom Tower,",7.0,May 2023,"May 15, 2023",Standard King Room,1,Solo traveler,7.7
Good,,location,7.0,May 2023,"May 12, 2023",Standard King Room,2,Solo traveler,7.7
pleasant,value,location and staff,8.0,February 2023,"April 23, 2023",Standard King Room,3,Solo traveler,7.7
Good,I haven’t visited this hotel for years. and after this long time the wifi problems are still there !!!,good location,7.0,March 2023,"March 8, 2023",Standard King Room,4,Solo traveler,7.7
.,not clean anymore,location,8.0,January 2023,"February 21, 2023",Junior Suite,1,Couple,7.7
Nice hotel in the center of Riyad,"We can hear little noise from neighbors, wifi not powerful enough to reach bed area (at the entrance of the room it works well), bad view if below 3rd floor","Nice breakfast, spacious, good price / quality",7.0,February 2023,"February 8, 2023",Standard King Room,6,Group,7.7
